Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
330,866,salir,186,0.0003379176,0.033792,349598,63.513617
331,867,modo,184,0.0003342841,0.033428,349782,63.547045
332,868,ir,183,0.0003324673,0.033247,349965,63.580292
333,869,señores,183,0.0003324673,0.033247,350148,63.613539
334,870,suerte,183,0.0003324673,0.033247,350331,63.646785
335,871,alguno,181,0.0003288338,0.032883,350512,63.679669
336,872,grandes,181,0.0003288338,0.032883,350693,63.712552
337,873,medio,178,0.0003233835,0.032338,350871,63.744890
338,874,nadie,178,0.0003233835,0.032338,351049,63.777229
339,875,poner,178,0.0003233835,0.032338,351227,63.809567
340,876,contra,177,0.0003215668,0.032157,351404,63.841724
341,877,delante,177,0.0003215668,0.032157,351581,63.873880
342,878,hermosa,177,0.0003215668,0.032157,351758,63.906037
343,879,pan,175,0.0003179333,0.031793,351933,63.937830
344,880,puso,175,0.0003179333,0.031793,352108,63.969624
345,881,dél,174,0.0003161165,0.031612,352282,64.001235
346,882,espada,174,0.0003161165,0.031612,352456,64.032847
347,883,fueron,174,0.0003161165,0.031612,352630,64.064459
348,884,gobernador,174,0.0003161165,0.031612,352804,64.096070
349,885,temor,174,0.0003161165,0.031612,352978,64.127682
350,886,voces,174,0.0003161165,0.031612,353152,64.159294
351,887,bueno,173,0.0003142997,0.031430,353325,64.190724
352,888,cuales,173,0.0003142997,0.031430,353498,64.222154
353,889,dicen,172,0.0003124830,0.031248,353670,64.253402
354,890,tomar,172,0.0003124830,0.031248,353842,64.284650
355,891,barbero,171,0.0003106662,0.031067,354013,64.315717
356,892,diablo,171,0.0003106662,0.031067,354184,64.346783
357,893,entonces,171,0.0003106662,0.031067,354355,64.377850
358,894,rostro,171,0.0003106662,0.031067,354526,64.408917
359,895,venía,171,0.0003106662,0.031067,354697,64.439983
360,896,ciudad,170,0.0003088494,0.030885,354867,64.470868
361,897,fuego,169,0.0003070327,0.030703,355036,64.501571
362,898,hablar,169,0.0003070327,0.030703,355205,64.532275
363,899,entender,167,0.0003033992,0.030340,355372,64.562615
364,900,pobre,167,0.0003033992,0.030340,355539,64.592955
365,901,cabo,166,0.0003015824,0.030158,355705,64.623113
366,902,trabajo,166,0.0003015824,0.030158,355871,64.653271
367,903,toboso,165,0.0002997656,0.029977,356036,64.683248
368,904,fama,164,0.0002979489,0.029795,356200,64.713043
369,905,mañana,164,0.0002979489,0.029795,356364,64.742837
370,906,sería,164,0.0002979489,0.029795,356528,64.772632
371,907,siendo,164,0.0002979489,0.029795,356692,64.802427
372,908,unos,164,0.0002979489,0.029795,356856,64.832222
373,909,éste,164,0.0002979489,0.029795,357020,64.862017
374,910,finalmente,163,0.0002961321,0.029613,357183,64.891630
375,911,suelo,163,0.0002961321,0.029613,357346,64.921243
376,912,algunos,162,0.0002943154,0.029432,357508,64.950675
377,913,andantes,162,0.0002943154,0.029432,357670,64.980106
378,914,ello,162,0.0002943154,0.029432,357832,65.009538
379,915,fe,162,0.0002943154,0.029432,357994,65.038970
380,916,dije,161,0.0002924986,0.029250,358155,65.068219
381,917,fortuna,161,0.0002924986,0.029250,358316,65.097469
382,918,mota,161,0.0002924986,0.029250,358477,65.126719
383,919,remedio,161,0.0002924986,0.029250,358638,65.155969
384,920,aventura,160,0.0002906818,0.029068,358798,65.185037
385,921,criado,160,0.0002906818,0.029068,358958,65.214105
386,922,hacía,160,0.0002906818,0.029068,359118,65.243174
387,923,nosotros,160,0.0002906818,0.029068,359278,65.272242
388,924,quanto,160,0.0002906818,0.029068,359438,65.301310
389,925,tienes,160,0.0002906818,0.029068,359598,65.330378
390,926,aquello,159,0.0002888651,0.028887,359757,65.359265
391,927,corazón,159,0.0002888651,0.028887,359916,65.388151
392,928,demás,159,0.0002888651,0.028887,360075,65.417038
393,929,ninguno,158,0.0002870483,0.028705,360233,65.445742
394,930,libros,157,0.0002852315,0.028523,360390,65.474266
395,931,tantas,157,0.0002852315,0.028523,360547,65.502789
396,932,estado,156,0.0002834148,0.028341,360703,65.531130
397,933,comenzó,155,0.0002815980,0.028160,360858,65.559290
398,934,esa,155,0.0002815980,0.028160,361013,65.587450
399,935,quería,155,0.0002815980,0.028160,361168,65.615610
400,936,quieres,155,0.0002815980,0.028160,361323,65.643769
401,937,primera,154,0.0002797813,0.027978,361477,65.671748
402,938,capítulo,153,0.0002779645,0.027796,361630,65.699544
403,939,di,153,0.0002779645,0.027796,361783,65.727340
404,940,fuerza,153,0.0002779645,0.027796,361936,65.755137
405,941,mar,153,0.0002779645,0.027796,362089,65.782933
406,942,doncella,152,0.0002761477,0.027615,362241,65.810548
407,943,vi,152,0.0002761477,0.027615,362393,65.838163
408,944,vista,152,0.0002761477,0.027615,362545,65.865778
409,945,puedo,151,0.0002743310,0.027433,362696,65.893211
410,946,contento,150,0.0002725142,0.027251,362846,65.920462
411,947,della,150,0.0002725142,0.027251,362996,65.947714
412,948,octavio,150,0.0002725142,0.027251,363146,65.974965
413,949,consejo,149,0.0002706975,0.027070,363295,66.002035
414,950,tras,149,0.0002706975,0.027070,363444,66.029105
415,951,camila,148,0.0002688807,0.026888,363592,66.055993
416,952,castillo,148,0.0002688807,0.026888,363740,66.082881
417,953,quedó,148,0.0002688807,0.026888,363888,66.109769
418,954,sabes,148,0.0002688807,0.026888,364036,66.136657
419,955,tuvo,148,0.0002688807,0.026888,364184,66.163545
420,956,venta,148,0.0002688807,0.026888,364332,66.190433
421,957,pienso,147,0.0002670639,0.026706,364479,66.217139
422,958,suyo,147,0.0002670639,0.026706,364626,66.243846
423,959,dizes,146,0.0002652472,0.026525,364772,66.270370
424,960,hermano,146,0.0002652472,0.026525,364918,66.296895
425,961,oro,146,0.0002652472,0.026525,365064,66.323420
426,962,acá,145,0.0002634304,0.026343,365209,66.349763
427,963,buenos,145,0.0002634304,0.026343,365354,66.376106
428,964,caballería,145,0.0002634304,0.026343,365499,66.402449
429,965,hermosura,145,0.0002634304,0.026343,365644,66.428792
430,966,posible,144,0.0002616136,0.026161,365788,66.454953
431,967,sol,144,0.0002616136,0.026161,365932,66.481115
432,968,casi,143,0.0002597969,0.025980,366075,66.507094
433,969,hoy,143,0.0002597969,0.025980,366218,66.533074
434,970,preguntó,143,0.0002597969,0.025980,366361,66.559054
435,971,dé,142,0.0002579801,0.025798,366503,66.584852
436,972,ese,142,0.0002579801,0.025798,366645,66.610650
437,973,lotario,142,0.0002579801,0.025798,366787,66.636448
438,974,sale,142,0.0002579801,0.025798,366929,66.662246
439,975,sosia,142,0.0002579801,0.025798,367071,66.688044
440,976,buscar,141,0.0002561634,0.025616,367212,66.713660
441,977,daba,140,0.0002543466,0.025435,367352,66.739095
442,978,estando,140,0.0002543466,0.025435,367492,66.764530
443,979,ésta,140,0.0002543466,0.025435,367632,66.789964
444,980,calle,139,0.0002525298,0.025253,367771,66.815217
445,981,fernando,139,0.0002525298,0.025253,367910,66.840470
446,982,mitad,139,0.0002525298,0.025253,368049,66.865723
447,983,paso,139,0.0002525298,0.025253,368188,66.890976
448,984,veo,139,0.0002525298,0.025253,368327,66.916229
449,985,anselmo,138,0.0002507131,0.025071,368465,66.941300
450,986,aquellas,138,0.0002507131,0.025071,368603,66.966372
451,987,avn,138,0.0002507131,0.025071,368741,66.991443
452,988,partes,138,0.0002507131,0.025071,368879,67.016514
453,989,vamos,138,0.0002507131,0.025071,369017,67.041586
454,990,gracias,137,0.0002488963,0.024890,369154,67.066475
455,991,nuevo,137,0.0002488963,0.024890,369291,67.091365
456,992,adonde,136,0.0002470796,0.024708,369427,67.116073
457,993,dando,136,0.0002470796,0.024708,369563,67.140781
458,994,pasar,136,0.0002470796,0.024708,369699,67.165489
459,995,negocio,135,0.0002452628,0.024526,369834,67.190015
460,996,alegre,134,0.0002434460,0.024345,369968,67.214360
461,997,entrar,134,0.0002434460,0.024345,370102,67.238704
462,998,libro,134,0.0002434460,0.024345,370236,67.263049
463,999,diego,133,0.0002416293,0.024163,370369,67.287212
464,1000,falta,133,0.0002416293,0.024163,370502,67.311375
465,1001,lágrimas,133,0.0002416293,0.024163,370635,67.335538
