Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
110,646,proyecto,20808,0.0006566944,0.065669,13862251,43.748861
111,647,siglo,20614,0.0006505718,0.065057,13882865,43.813918
112,648,era,20565,0.0006490254,0.064903,13903430,43.878821
113,649,argentina,20471,0.0006460588,0.064606,13923901,43.943427
114,650,aires,20464,0.0006458379,0.064584,13944365,44.008010
115,651,cómo,20432,0.0006448280,0.064483,13964797,44.072493
116,652,ese,20296,0.0006405359,0.064054,13985093,44.136547
117,653,https,20285,0.0006401887,0.064019,14005378,44.200566
118,654,hasta,20259,0.0006393681,0.063937,14025637,44.264503
119,655,otras,20036,0.0006323303,0.063233,14045673,44.327736
120,656,porque,19947,0.0006295215,0.062952,14065620,44.390688
121,657,durante,19890,0.0006277226,0.062772,14085510,44.453460
122,658,estudio,19775,0.0006240933,0.062409,14105285,44.515869
123,659,cultural,19632,0.0006195802,0.061958,14124917,44.577827
124,660,hay,19569,0.0006175920,0.061759,14144486,44.639587
125,661,uno,19497,0.0006153197,0.061532,14163983,44.701119
126,662,hacia,19490,0.0006150987,0.061510,14183473,44.762628
127,663,núm,19408,0.0006125108,0.061251,14202881,44.823879
128,664,través,19288,0.0006087237,0.060872,14222169,44.884752
129,665,decir,18954,0.0005981827,0.059818,14241123,44.944570
130,666,muy,18495,0.0005836968,0.058370,14259618,45.002940
131,667,acceso,18280,0.0005769115,0.057691,14277898,45.060631
132,668,to,18031,0.0005690531,0.056905,14295929,45.117536
133,669,políticas,17867,0.0005638773,0.056388,14313796,45.173924
134,670,todos,17847,0.0005632461,0.056325,14331643,45.230249
135,671,estudios,17813,0.0005621731,0.056217,14349456,45.286466
136,672,medio,17603,0.0005555456,0.055555,14367059,45.342020
137,673,mujeres,17579,0.0005547881,0.055479,14384638,45.397499
138,674,número,17394,0.0005489496,0.054895,14402032,45.452394
139,675,además,17145,0.0005410912,0.054109,14419177,45.506503
140,676,año,17069,0.0005386927,0.053869,14436246,45.560373
141,677,http,17065,0.0005385664,0.053857,14453311,45.614229
142,678,modo,17029,0.0005374303,0.053743,14470340,45.667972
143,679,andamios,16805,0.0005303609,0.053036,14487145,45.721008
144,680,embargo,16763,0.0005290354,0.052904,14503908,45.773912
145,681,otra,16755,0.0005287829,0.052878,14520663,45.826790
146,682,según,16721,0.0005277099,0.052771,14537384,45.879561
147,683,personas,16693,0.0005268262,0.052683,14554077,45.932244
148,684,sido,16659,0.0005257532,0.052575,14570736,45.984819
149,685,relaciones,16653,0.0005255638,0.052556,14587389,46.037376
150,686,qué,16622,0.0005245855,0.052459,14604011,46.089834
151,687,fueron,16589,0.0005235440,0.052354,14620600,46.142188
152,688,me,16451,0.0005191888,0.051919,14637051,46.194107
153,689,tipo,16321,0.0005150860,0.051509,14653372,46.245616
154,690,algunos,16238,0.0005124666,0.051247,14669610,46.296863
155,691,colombia,16186,0.0005108255,0.051083,14685796,46.347945
156,692,esa,16161,0.0005100365,0.051004,14701957,46.398949
157,693,tal,16100,0.0005081113,0.050811,14718057,46.449760
158,694,diferentes,15971,0.0005040401,0.050404,14734028,46.500164
159,695,ni,15880,0.0005011682,0.050117,14749908,46.550281
160,696,formas,15808,0.0004988959,0.049890,14765716,46.600170
161,697,ejemplo,15800,0.0004986434,0.049864,14781516,46.650035
162,698,procesos,15682,0.0004949194,0.049492,14797198,46.699527
163,699,derechos,15650,0.0004939094,0.049391,14812848,46.748918
164,700,américa,15646,0.0004937832,0.049378,14828494,46.798296
165,701,político,15607,0.0004925524,0.049255,14844101,46.847551
166,702,hace,15606,0.0004925208,0.049252,14859707,46.896803
167,703,aunque,15459,0.0004878815,0.048788,14875166,46.945591
168,704,sí,15413,0.0004864298,0.048643,14890579,46.994234
169,705,www,15377,0.0004852936,0.048529,14905956,47.042764
170,706,dentro,15079,0.0004758889,0.047589,14921035,47.090353
171,707,pueden,15069,0.0004755733,0.047557,14936104,47.137910
172,708,campo,15049,0.0004749421,0.047494,14951153,47.185404
173,709,ello,14993,0.0004731747,0.047317,14966146,47.232722
174,710,arte,14964,0.0004722595,0.047226,14981110,47.279948
175,711,pdf,14944,0.0004716283,0.047163,14996054,47.327110
176,712,grupo,14930,0.0004711865,0.047119,15010984,47.374229
177,713,educación,14918,0.0004708077,0.047081,15025902,47.421310
178,714,general,14899,0.0004702081,0.047021,15040801,47.468331
179,715,respecto,14885,0.0004697663,0.046977,15055686,47.515307
180,716,obra,14806,0.0004672731,0.046727,15070492,47.562035
181,717,ciencias,14787,0.0004666734,0.046667,15085279,47.608702
182,718,fines,14781,0.0004664841,0.046648,15100060,47.655350
183,719,tres,14558,0.0004594462,0.045945,15114618,47.701295
184,720,prácticas,14516,0.0004581207,0.045812,15129134,47.747107
185,721,pues,14422,0.0004551541,0.045515,15143556,47.792622
186,722,grupos,14387,0.0004540495,0.045405,15157943,47.838027
187,723,nueva,14353,0.0004529765,0.045298,15172296,47.883325
188,724,indígenas,14271,0.0004503886,0.045039,15186567,47.928364
189,725,menos,14241,0.0004494418,0.044944,15200808,47.973308
190,726,ellos,14197,0.0004480532,0.044805,15215005,48.018113
191,727,da,14042,0.0004431614,0.044316,15229047,48.062430
192,728,uso,13972,0.0004409523,0.044095,15243019,48.106525
193,729,hecho,13922,0.0004393743,0.043937,15256941,48.150462
194,730,gobierno,13895,0.0004385222,0.043852,15270836,48.194314
195,731,chile,13848,0.0004370389,0.043704,15284684,48.238018
196,732,población,13806,0.0004357133,0.043571,15298490,48.281590
197,733,construcción,13804,0.0004356502,0.043565,15312294,48.325155
198,734,gran,13751,0.0004339776,0.043398,15326045,48.368552
199,735,país,13554,0.0004277603,0.042776,15339599,48.411328
200,736,misma,13552,0.0004276972,0.042770,15353151,48.454098
201,737,les,13486,0.0004256142,0.042561,15366637,48.496660
202,738,cuenta,13311,0.0004200913,0.042009,15379948,48.538669
203,739,entonces,13298,0.0004196810,0.041968,15393246,48.580637
204,740,contexto,13257,0.0004183871,0.041839,15406503,48.622475
205,741,tienen,13233,0.0004176296,0.041763,15419736,48.664238
206,742,nivel,13228,0.0004174718,0.041747,15432964,48.705986
207,743,había,13157,0.0004152311,0.041523,15446121,48.747509
208,744,académico,13135,0.0004145368,0.041454,15459256,48.788962
209,745,abierto,13132,0.0004144421,0.041444,15472388,48.830407
210,746,están,12877,0.0004063944,0.040639,15485265,48.871046
211,747,debe,12770,0.0004030175,0.040302,15498035,48.911348
212,748,primera,12759,0.0004026703,0.040267,15510794,48.951615
213,749,experiencia,12718,0.0004013764,0.040138,15523512,48.991753
214,750,condiciones,12711,0.0004011555,0.040116,15536223,49.031868
215,751,diciembre,12694,0.0004006189,0.040062,15548917,49.071930
216,752,realidad,12684,0.0004003034,0.040030,15561601,49.111960
217,753,autónoma,12671,0.0003998931,0.039989,15574272,49.151950
218,754,cambio,12580,0.0003970211,0.039702,15586852,49.191652
219,755,comunidad,12527,0.0003953485,0.039535,15599379,49.231187
220,756,conocimiento,12480,0.0003938652,0.039387,15611859,49.270573
221,757,identidad,12450,0.0003929184,0.039292,15624309,49.309865
222,758,desarrollado,12363,0.0003901727,0.039017,15636672,49.348882
223,759,latina,12315,0.0003886578,0.038866,15648987,49.387748
224,760,hacer,12306,0.0003883738,0.038837,15661293,49.426585
225,761,momento,12258,0.0003868589,0.038686,15673551,49.465271
226,762,iniciativa,12213,0.0003854387,0.038544,15685764,49.503815
227,763,centro,12149,0.0003834189,0.038342,15697913,49.542157
228,764,presente,12006,0.0003789059,0.037891,15709919,49.580048
229,765,posible,11937,0.0003767282,0.037673,15721856,49.617720
230,766,culturales,11709,0.0003695326,0.036953,15733565,49.654674
231,767,primer,11702,0.0003693117,0.036931,15745267,49.691605
232,768,mediante,11661,0.0003680178,0.036802,15756928,49.728407
233,769,figura,11611,0.0003664398,0.036644,15768539,49.765051
234,770,importante,11590,0.0003657770,0.036578,15780129,49.801628
235,771,resultados,11512,0.0003633154,0.036332,15791641,49.837960
236,772,sea,11487,0.0003625264,0.036253,15803128,49.874212
237,773,punto,11437,0.0003609484,0.036095,15814565,49.910307
238,774,propia,11361,0.0003585499,0.035855,15825926,49.946162
239,775,siempre,11332,0.0003576346,0.035763,15837258,49.981926
240,776,nuevo,11312,0.0003570034,0.035700,15848570,50.017626
241,777,as,11283,0.0003560882,0.035609,15859853,50.053235
242,778,mientras,11255,0.0003552045,0.035520,15871108,50.088755
243,779,aquí,11182,0.0003529007,0.035290,15882290,50.124045
244,780,discurso,11126,0.0003511333,0.035113,15893416,50.159159
245,781,modelo,11119,0.0003509124,0.035091,15904535,50.194250
246,782,lado,11104,0.0003504390,0.035044,15915639,50.229294
247,783,contra,11088,0.0003499341,0.034993,15926727,50.264287
248,784,cuales,11068,0.0003493029,0.034930,15937795,50.299218
